n 200
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 10879

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
59
124
159
176
64
123
151
149
132
98
178
100
160
60
87
170
47
131
44
185
144
136
70
146
152
98
171
187
192
198

processing
7	62	33	30	87	91	43	84	97	17	64	7	23	34	35	12	19	11	41	15	64	87	53	6	8	32	82	83	41	15	
31	47	76	63	33	20	11	31	59	9	48	25	15	70	58	6	38	32	70	78	46	35	67	1	95	30	32	78	68	28	
92	98	75	26	18	63	45	28	93	6	91	42	30	7	14	43	66	51	75	37	84	22	72	8	76	24	37	63	3	6	
91	95	59	23	76	76	85	22	60	79	27	52	77	12	14	46	55	80	52	85	18	37	62	45	45	40	68	37	58	27	
43	6	77	3	28	54	35	68	75	94	5	58	47	81	25	60	82	79	95	35	65	69	71	29	15	71	24	39	10	37	
65	8	43	43	64	70	96	54	94	28	49	98	85	95	36	12	13	19	46	9	53	67	33	79	51	4	8	30	42	71	
66	62	78	10	60	97	36	13	53	31	40	57	84	81	10	21	48	22	93	49	84	47	17	19	81	67	22	44	96	19	
16	20	36	49	29	95	4	64	9	56	50	4	68	35	40	77	11	87	98	5	38	40	7	10	14	44	33	89	87	84	
63	59	5	98	9	34	94	12	53	58	23	5	17	91	93	57	25	60	1	79	64	92	20	71	4	87	70	36	33	58	
21	95	18	80	94	81	15	45	48	23	58	27	81	30	73	76	86	97	37	43	77	56	36	52	82	93	40	53	84	72	
67	61	24	40	42	19	22	12	19	70	34	32	52	17	62	26	48	5	24	40	47	3	95	39	54	35	33	50	87	19	
23	55	79	47	95	22	21	72	87	94	97	22	27	50	92	88	75	41	49	1	36	95	57	33	35	12	67	24	61	11	
42	40	22	76	42	18	53	18	89	41	13	88	18	94	39	12	83	70	8	33	70	44	84	82	76	74	93	98	97	12	
64	94	7	85	71	4	4	79	21	49	75	34	92	93	29	86	6	67	57	13	56	82	12	95	65	87	70	16	42	69	
81	8	20	87	92	47	90	52	27	66	56	58	1	5	52	83	90	13	8	5	79	19	42	91	15	63	35	40	78	33	
64	60	40	84	4	87	32	49	94	14	16	7	71	71	11	24	11	57	90	72	17	71	90	58	19	60	22	53	56	55	
41	21	70	80	6	29	25	91	77	74	7	49	81	77	75	47	57	85	59	48	15	75	74	60	89	48	22	12	57	33	
23	97	53	92	35	15	23	15	7	55	88	67	5	26	46	79	29	58	22	87	7	36	20	37	95	10	40	72	75	96	
6	97	51	15	91	85	29	69	1	89	25	44	58	30	26	5	64	54	62	85	96	24	76	17	16	73	26	56	46	3	
9	8	1	59	22	47	45	50	17	1	40	42	1	97	27	26	57	90	79	20	33	76	98	10	93	69	82	74	26	84	
76	89	91	33	49	14	79	50	19	52	6	58	93	6	13	75	31	69	22	65	45	54	43	98	64	91	68	3	22	50	
42	98	40	34	86	88	3	66	93	21	73	1	35	23	6	3	97	91	27	21	57	27	74	55	26	93	3	94	52	25	
1	93	78	40	29	65	83	85	86	34	62	61	34	52	83	93	54	38	41	80	58	98	9	87	10	88	82	13	39	89	
37	39	83	70	34	67	36	19	54	77	8	71	39	95	24	78	89	77	17	86	14	74	85	76	18	50	66	55	62	60	
45	54	1	30	25	88	52	16	62	7	93	69	33	87	65	56	66	12	88	82	97	58	13	39	35	85	88	56	41	8	
18	86	61	72	71	42	61	24	13	25	85	61	93	19	50	16	31	17	27	20	55	25	77	23	63	68	9	52	25	50	
59	96	91	76	69	63	73	86	42	85	66	28	48	16	3	97	31	33	69	57	8	79	81	85	4	45	54	66	53	34	
17	13	32	63	44	56	81	18	97	25	59	64	8	8	80	10	60	12	96	84	69	6	65	7	90	24	52	1	89	60	
34	62	72	21	26	72	33	9	89	31	87	49	95	94	12	76	60	27	43	57	13	13	62	77	20	9	56	27	63	46	
86	53	9	15	73	35	42	7	97	33	38	85	37	88	80	5	65	95	31	63	54	43	76	71	75	51	36	32	33	98	
34	74	52	42	44	81	32	86	43	30	74	36	70	66	25	8	70	45	4	3	10	13	1	41	84	32	47	75	19	79	
74	8	10	82	50	53	64	37	94	8	23	25	44	92	91	24	55	62	69	59	20	78	71	75	74	12	62	22	86	36	
2	18	44	65	1	93	73	20	85	69	27	9	93	26	3	41	50	57	59	74	71	78	9	98	10	82	65	71	5	9	
9	60	26	52	26	80	2	98	1	86	24	81	51	73	63	9	15	14	65	29	43	92	9	51	91	72	34	13	1	92	
21	9	53	46	16	78	27	71	33	81	14	13	64	64	85	28	72	55	95	93	84	93	86	48	45	34	75	34	46	75	
27	23	39	79	24	54	14	7	80	46	87	94	58	8	59	98	35	33	55	85	81	94	79	68	97	79	57	73	14	58	
50	40	80	88	74	6	98	87	12	79	89	54	74	4	62	89	4	52	77	14	93	59	63	29	82	61	10	40	35	77	
53	84	73	89	74	48	50	29	91	17	9	81	70	83	84	33	29	43	41	7	12	35	65	74	63	48	36	28	87	71	
7	95	12	79	85	41	28	36	69	20	52	78	56	24	18	96	12	46	40	52	52	52	42	18	81	7	65	19	34	9	
45	94	5	56	74	46	53	58	81	23	33	89	56	89	68	73	42	79	74	81	87	27	88	30	98	27	90	20	45	80	
