n 100
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 4207

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
127
46
131
43
159
73
180
94
62
162
53
129
132
169
180
151
109
61
103
136
81
144
93
157
57
147
96
134
128
109

processing
17	58	80	4	52	93	91	34	73	38	29	64	11	41	85	71	71	81	29	52	35	40	20	9	96	71	26	60	39	14	
95	55	28	32	59	79	26	7	68	1	44	96	20	54	93	7	81	21	43	11	28	33	50	47	95	3	73	23	19	13	
90	15	24	19	47	82	53	28	44	23	82	44	20	58	97	68	64	79	88	62	45	17	50	51	63	47	53	37	25	27	
6	16	42	29	35	44	66	43	27	11	65	65	54	41	24	9	10	43	43	54	6	88	70	11	94	89	57	4	81	81	
31	86	53	28	70	43	71	37	85	53	4	8	19	57	48	42	21	13	84	64	66	45	9	92	56	4	38	68	61	20	
7	91	62	59	20	33	3	46	26	87	1	29	50	19	41	97	17	62	66	56	27	87	57	89	80	14	92	19	37	10	
93	43	3	56	3	76	44	59	24	25	4	78	53	53	52	94	52	24	13	73	80	93	61	38	83	97	7	32	17	43	
41	65	86	97	76	44	75	76	5	54	2	8	33	11	60	40	6	67	64	72	95	1	66	58	38	50	12	98	81	82	
42	77	49	83	76	26	29	8	3	87	61	59	50	49	69	11	44	74	34	9	3	30	9	68	43	2	73	54	1	11	
38	97	87	42	81	20	67	65	27	26	53	87	84	4	91	54	69	37	83	58	1	85	43	64	10	86	65	82	95	22	
92	88	20	36	31	56	56	98	23	82	25	31	27	64	89	19	19	15	11	3	72	12	43	16	75	52	57	95	35	54	
18	82	43	91	19	74	49	74	29	27	14	9	13	94	72	3	68	46	71	79	4	44	90	46	16	22	53	72	18	43	
81	90	26	80	38	98	11	86	30	39	68	97	47	81	92	74	39	61	21	12	41	24	11	86	25	80	63	33	10	37	
75	90	28	56	71	65	11	81	9	40	75	32	38	77	68	85	52	63	48	28	74	44	7	40	86	85	22	50	19	31	
86	93	76	15	6	5	36	17	41	98	12	18	85	6	94	55	90	4	19	93	31	48	39	92	43	26	78	20	75	97	
6	63	47	82	33	53	42	24	69	82	77	36	1	64	41	51	74	33	10	48	27	94	95	21	87	93	46	67	15	77	
21	20	95	67	57	83	75	98	63	1	82	41	37	38	60	77	88	35	65	53	82	92	49	34	68	37	29	16	59	43	
