n 9
m 2
hl 143
o 3
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 4021

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
118
144

processing
65	15	
58	12	
21	45	
69	20	
54	57	
68	50	
83	29	
24	69	
43	46	

setup
0	5	1	5	8	2	1	6	2	
6	0	6	4	3	6	6	6	5	
5	3	0	3	1	6	7	5	5	
3	5	6	0	6	3	8	6	2	
7	4	6	6	0	5	5	8	6	
6	8	8	6	8	0	4	4	6	
3	4	8	6	1	5	0	2	3	
7	3	5	6	8	8	8	0	7	
8	5	6	5	2	5	4	4	0	

0	4	6	7	2	5	6	5	2	
8	0	6	4	7	8	8	6	8	
8	8	0	7	2	1	2	3	1	
3	5	7	0	6	7	7	7	7	
4	1	6	8	0	6	6	4	6	
6	7	6	8	6	0	1	7	1	
7	5	2	7	2	5	0	8	5	
4	1	6	3	5	4	4	0	5	
6	8	8	5	3	4	4	8	0	

