n 100
m 30
n_day 1
hl 1439
o 5
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 1013

peak_start
1080

peak_end
1259

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
169
140
100
76
107
102
180
98
40
152
96
57
75
90
109
60
159
160
100
134
137
187
41
196
110
54
119
148
161
108

processing
27	14	9	13	94	72	3	68	46	71	79	4	44	90	46	16	22	53	72	18	43	81	90	26	80	38	98	11	86	30	
39	68	97	47	81	92	74	39	61	21	12	41	24	11	86	25	80	63	33	10	37	75	90	28	56	71	65	11	81	9	
40	75	32	38	77	68	85	52	63	48	28	74	44	7	40	86	85	22	50	19	31	86	93	76	15	6	5	36	17	41	
98	12	18	85	6	94	55	90	4	19	93	31	48	39	92	43	26	78	20	75	97	6	63	47	82	33	53	42	24	69	
82	77	36	1	64	41	51	74	33	10	48	27	94	95	21	87	93	46	67	15	77	21	20	95	67	57	83	75	98	63	
1	82	41	37	38	60	77	88	35	65	53	82	92	49	34	68	37	29	16	59	43	48	79	18	44	4	75	28	78	74	
46	35	57	87	71	51	4	5	94	93	70	49	32	19	97	66	86	89	50	57	6	48	6	84	65	5	43	95	87	77	
71	34	13	83	76	39	35	80	43	31	74	14	79	7	32	33	28	74	23	77	32	28	26	92	68	47	96	66	43	40	
44	15	74	12	54	51	50	88	32	49	74	61	62	10	24	50	42	51	25	21	30	12	4	11	59	27	13	13	93	56	
52	92	26	27	60	79	34	65	25	65	15	54	82	33	64	7	82	61	57	62	37	42	29	41	9	88	23	21	2	71	
76	53	21	58	36	80	38	69	2	18	89	17	72	72	49	91	34	86	53	91	49	46	88	33	42	96	76	64	19	77	
37	50	86	13	9	77	48	3	47	49	20	91	21	47	65	69	93	54	12	4	46	16	49	90	49	90	87	26	55	61	
59	47	67	2	59	75	78	62	33	80	13	9	72	33	55	92	58	6	48	69	9	49	41	57	40	89	48	83	70	58	
1	30	61	67	31	75	98	64	39	32	45	7	40	73	39	51	66	52	56	69	77	64	20	19	22	15	63	25	97	34	
38	54	64	54	22	50	31	21	70	25	9	70	31	48	44	25	98	66	33	55	36	11	74	11	83	51	26	47	31	78	
80	69	33	1	78	11	7	64	85	76	88	93	47	74	43	47	55	96	14	87	9	5	97	82	16	81	35	95	83	65	
30	64	89	19	65	69	29	27	34	69	4	78	64	6	53	62	52	9	59	21	51	67	80	5	7	51	41	41	47	25	
7	76	89	96	94	11	22	78	37	55	49	94	34	68	55	43	31	63	7	45	83	58	68	20	62	74	70	5	16	18	
83	76	50	73	29	1	39	50	79	31	61	83	26	94	52	81	92	38	45	1	82	83	58	51	5	75	26	30	35	95	
4	20	29	53	48	57	53	87	63	87	19	25	71	1	74	78	37	68	17	37	24	1	75	81	7	79	13	87	65	48	
83	68	67	13	22	16	26	30	58	88	73	33	68	1	33	97	79	25	22	95	61	45	51	37	81	58	72	94	46	38	
43	84	61	65	53	82	80	78	67	94	23	41	28	46	42	16	44	76	40	66	72	56	66	79	48	49	92	75	44	93	
68	42	78	30	8	86	67	43	21	36	38	97	32	21	44	73	36	44	50	31	65	78	42	32	14	90	80	7	22	79	
1	90	22	34	75	83	76	44	28	96	35	21	95	66	96	94	95	87	39	2	74	5	35	17	91	48	62	72	54	84	
53	10	31	30	98	7	15	75	6	96	72	40	72	24	62	25	20	58	14	14	59	87	73	94	59	65	97	23	38	53	
62	46	18	48	32	17	10	46	47	16	97	75	11	26	54	72	51	73	31	64	43	46	8	17	95	66	81	93	44	74	
3	7	76	21	10	9	91	20	54	94	89	8	70	1	33	25	73	39	54	59	58	96	6	65	68	56	87	50	51	32	
79	53	93	56	29	4	64	76	23	73	71	13	80	96	68	69	22	42	9	31	56	67	82	18	87	51	73	75	56	25	
9	37	34	57	92	62	60	58	39	39	32	65	7	14	62	74	38	40	71	46	26	83	68	10	2	57	60	74	33	18	
55	95	54	88	53	3	7	15	60	46	9	92	66	15	61	84	45	98	25	17	1	50	1	69	15	56	27	75	32	59	
48	42	56	57	31	10	59	37	78	75	38	86	68	60	57	84	45	3	83	69	73	83	74	30	53	89	85	79	21	18	
94	24	59	7	36	45	70	94	38	50	26	75	91	93	36	5	34	36	7	18	6	80	57	36	11	11	26	95	46	2	
69	95	25	83	3	60	84	28	11	23	33	37	53	26	85	45	30	21	80	91	38	86	28	50	23	38	17	4	88	62	
5	14	14	29	97	70	44	38	97	54	60	32	90	14	13	33	58	42	53	40	88	46	81	17	96	59	54	14	18	98	
31	22	13	44	6	65	15	49	4	67	4	19	98	50	33	12	82	46	10	90	41	97	37	77	16	88	37	25	57	54	
24	87	31	91	86	36	13	56	40	71	25	98	89	24	49	77	90	86	79	1	77	21	53	69	54	68	15	46	49	71	
2	28	60	86	20	3	78	87	59	19	59	83	18	5	62	22	38	53	9	18	9	41	92	62	66	3	31	80	49	35	
52	6	63	67	91	38	70	70	26	30	89	40	68	62	1	31	84	38	40	92	11	48	89	58	11	56	61	96	91	11	
32	98	16	50	67	62	88	92	34	69	23	78	65	46	41	65	76	26	58	71	74	68	21	20	81	85	31	43	38	23	
53	26	22	24	75	44	86	64	37	75	89	15	54	55	60	50	21	92	32	78	64	61	3	40	80	83	27	12	82	20	
