n 10
m 2
n_day 1
hl 1439
o 3
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 238

peak_start
1080

peak_end
1259

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
173
100

processing
48	83	
75	3	
22	93	
57	63	
53	16	
75	25	
39	7	
61	5	
9	98	
8	64	

setup
0	2	1	3	8	1	7	5	7	8	
6	0	6	7	5	6	6	4	8	7	
8	8	0	3	4	7	3	6	3	3	
1	2	5	0	5	6	5	4	3	5	
5	5	7	7	0	5	3	8	5	8	
7	7	3	2	5	0	5	4	4	7	
1	2	5	6	3	6	0	4	7	2	
7	6	5	5	7	3	4	0	4	4	
5	5	6	4	4	6	6	8	0	8	
5	4	6	4	2	5	7	5	3	0	

0	2	4	1	4	2	1	8	5	8	
8	0	6	8	8	7	8	7	5	8	
7	7	0	6	3	1	2	5	5	3	
5	4	5	0	5	5	4	6	4	4	
6	5	7	6	0	5	7	6	6	7	
1	2	6	3	4	0	5	7	3	4	
1	2	5	5	6	6	0	6	5	4	
6	5	6	4	3	5	1	0	5	4	
7	7	5	6	3	6	6	8	0	5	
1	2	6	2	4	2	5	7	5	0	

