n 150
m 30
n_day 1
hl 1439
o 5
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 725

peak_start
1080

peak_end
1259

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
131
42
162
177
178
92
57
143
45
136
153
135
98
115
126
49
187
172
114
128
106
142
157
133
44
42
94
140
135
123

processing
5	7	8	15	1	12	57	22	41	43	52	28	34	64	7	62	66	65	43	98	1	57	38	31	58	44	35	42	88	56	
1	49	19	62	63	19	73	22	94	69	20	4	96	9	67	5	26	34	25	68	33	25	26	27	11	39	70	45	80	16	
3	36	64	21	97	82	93	27	59	88	95	78	91	93	42	16	53	68	49	77	91	38	57	73	20	68	13	89	14	49	
60	70	84	79	46	39	63	94	65	23	84	62	57	32	12	54	3	64	23	52	42	70	45	54	44	64	23	12	10	37	
60	70	62	2	50	10	94	68	5	60	91	44	77	5	32	88	58	34	9	37	41	6	8	85	60	7	50	82	18	60	
74	34	85	38	35	90	3	30	60	61	45	8	7	78	12	38	67	69	27	32	61	68	37	68	10	52	74	60	36	48	
75	65	81	61	58	71	8	60	2	67	23	2	74	83	79	85	76	4	12	4	35	72	27	27	96	37	79	27	52	70	
74	28	90	56	44	50	28	51	65	83	74	43	41	49	81	21	90	58	78	57	18	14	84	98	95	81	36	31	64	43	
2	39	70	91	51	69	96	78	76	63	19	51	61	59	55	44	35	2	3	15	58	74	82	44	74	78	80	65	10	45	
10	65	84	35	14	36	6	11	69	37	29	87	43	90	3	53	89	38	55	47	52	14	23	35	13	52	15	93	18	78	
39	27	45	78	62	58	69	23	24	94	15	53	82	13	98	41	65	88	78	21	90	31	89	14	21	57	21	89	51	39	
69	46	21	15	79	38	28	50	16	51	45	84	5	82	96	58	24	63	3	57	39	93	87	83	62	64	42	83	54	92	
77	24	93	97	92	74	91	21	79	62	72	79	48	32	62	45	90	42	9	92	98	4	42	43	86	6	8	29	88	61	
23	66	41	71	20	34	46	66	55	26	30	82	6	77	69	24	23	16	21	86	64	20	89	7	18	76	12	79	61	55	
42	39	22	82	11	96	71	57	63	27	38	48	64	98	26	35	23	49	6	97	90	69	72	80	32	90	13	43	70	73	
54	67	13	75	6	24	28	77	36	47	59	73	94	79	28	22	69	6	26	74	4	17	1	76	52	32	23	64	30	48	
39	83	17	51	16	76	30	97	10	65	45	25	94	41	5	23	18	29	29	97	58	86	15	14	63	66	45	85	31	31	
35	25	69	7	32	40	38	61	39	48	82	83	28	33	79	86	55	52	16	39	50	73	27	20	87	89	85	87	32	72	
73	22	52	44	28	39	83	65	56	77	68	39	18	95	71	52	82	81	6	53	22	11	82	48	31	26	92	71	14	79	
98	43	2	52	42	83	90	80	50	3	59	73	41	76	70	67	29	9	50	88	62	71	1	45	74	85	70	23	57	39	
58	13	37	59	20	78	44	65	60	49	68	20	77	10	95	4	77	79	13	82	69	74	10	25	74	39	11	1	17	23	
93	74	35	32	35	54	11	34	21	70	38	88	45	16	53	95	20	85	76	86	68	2	17	77	26	90	71	36	90	88	
14	84	63	49	71	97	4	82	86	78	9	25	67	54	95	22	50	70	62	81	57	32	82	73	64	63	64	37	54	11	
26	68	50	88	18	23	43	75	60	84	55	68	65	77	23	61	54	29	32	18	65	88	49	49	62	68	67	81	6	23	
47	85	90	96	31	63	74	29	39	35	14	49	59	78	28	37	94	81	65	27	54	32	70	58	36	87	28	4	69	87	
26	17	74	71	69	60	35	98	88	30	89	57	78	49	37	61	85	32	98	8	15	53	39	40	13	30	29	94	33	97	
82	15	70	13	85	94	72	76	49	17	7	39	74	84	43	66	47	30	53	2	37	67	54	31	9	66	60	91	61	48	
89	1	18	16	13	5	65	41	80	70	13	42	10	86	81	53	53	83	38	8	84	74	30	40	60	92	61	75	84	78	
24	31	78	42	2	46	2	23	42	37	92	55	78	57	96	16	65	51	1	4	14	84	33	97	79	92	47	42	24	32	
75	48	18	10	45	20	55	2	42	53	38	89	9	71	47	6	86	14	12	42	71	79	28	6	34	8	53	80	5	77	
67	79	80	85	88	80	60	1	81	3	53	74	47	17	46	49	76	87	62	44	31	35	78	14	94	13	75	48	92	36	
26	17	70	7	3	16	86	62	16	24	20	24	97	66	94	98	16	27	43	34	70	73	24	50	42	19	18	72	66	66	
9	48	82	79	10	40	94	96	3	65	75	22	44	74	43	93	73	14	21	17	3	47	45	26	52	42	44	69	16	66	
90	78	15	73	14	24	14	63	75	70	29	52	47	28	81	45	22	11	59	97	82	17	45	82	43	96	26	42	22	95	
63	14	30	77	42	44	57	12	8	87	81	91	94	84	20	76	30	96	87	44	94	26	61	94	9	5	47	88	2	68	
40	65	37	70	97	35	15	55	2	76	98	38	68	93	23	44	71	53	41	15	52	90	40	14	85	4	72	33	92	74	
56	87	94	49	58	92	39	28	5	40	6	4	77	73	96	56	18	24	10	14	92	61	5	87	31	45	91	4	33	40	
77	45	28	28	93	86	22	87	69	26	28	74	83	60	49	80	17	22	60	80	36	53	97	94	42	29	41	34	32	73	
29	65	73	56	92	67	97	15	55	68	94	38	97	78	98	47	16	16	25	75	96	16	29	94	11	26	24	51	15	11	
80	43	75	54	55	25	77	9	93	87	32	45	27	31	24	80	33	93	95	57	69	48	72	54	43	83	35	22	89	50	
33	26	48	63	36	4	87	68	67	38	56	98	82	38	84	61	19	19	56	16	31	80	63	5	35	62	43	70	83	87	
75	71	69	24	36	6	82	78	73	50	71	84	5	54	24	89	71	96	63	28	13	93	9	32	53	98	49	51	25	87	
94	1	60	20	78	51	79	61	84	9	66	57	92	27	66	71	71	38	69	35	21	37	83	30	24	92	83	72	98	9	
61	49	63	76	68	42	28	48	59	67	56	80	25	6	8	47	76	78	40	2	68	61	39	9	46	62	56	30	90	55	
92	52	60	56	83	29	53	12	33	13	78	44	93	59	49	56	61	81	36	2	82	59	18	76	23	63	94	78	48	85	
89	95	92	50	8	76	34	61	43	22	29	22	66	77	36	70	35	96	52	26	54	90	40	71	67	63	90	18	42	93	
4	86	90	51	37	53	28	27	15	70	48	98	48	69	76	39	41	66	37	48	91	46	93	87	18	18	51	63	35	48	
58	93	36	5	45	72	57	29	54	28	54	58	27	57	28	58	96	24	80	88	28	28	35	22	16	8	93	66	27	84	
16	84	78	51	44	78	78	56	8	34	83	62	47	65	74	74	79	71	54	60	16	81	87	6	58	5	14	53	26	40	
38	41	79	71	47	78	50	27	35	14	16	74	75	62	40	6	91	20	77	46	35	48	28	24	54	42	82	23	50	9	
18	43	50	52	15	52	31	20	78	65	33	49	94	63	12	36	69	59	11	3	6	46	50	88	25	5	31	8	81	80	
16	98	24	21	51	92	73	81	13	8	4	2	13	97	64	78	88	34	38	1	36	44	2	42	87	80	2	19	87	83	
54	58	82	33	79	35	26	9	71	92	70	30	93	82	29	59	62	72	48	1	28	40	98	29	81	86	10	82	60	52	
66	15	12	50	47	46	40	28	10	66	76	79	96	70	19	80	84	80	53	34	36	81	73	90	65	11	77	31	92	93	
82	16	9	49	21	12	50	16	93	59	81	70	94	34	42	14	15	81	49	24	16	40	6	44	31	26	10	64	12	58	
58	50	73	66	98	49	33	6	64	28	64	2	97	15	36	94	28	50	77	32	73	48	72	34	48	58	16	57	23	27	
16	80	76	44	4	32	92	90	91	13	19	56	15	72	27	50	23	54	55	1	42	30	5	15	19	8	72	34	64	51	
17	36	32	48	35	89	35	83	81	27	95	55	39	65	28	65	16	51	74	71	7	17	56	65	85	74	72	15	64	92	
65	36	83	52	83	73	43	74	57	79	2	10	35	40	74	19	60	46	25	36	18	85	52	29	52	39	58	79	53	77	
28	73	14	12	26	53	85	68	28	97	48	29	8	39	25	82	57	84	83	81	75	2	67	83	84	74	77	43	55	31	
76	82	59	89	50	84	43	90	10	26	88	13	11	96	51	35	35	63	74	19	45	7	74	68	89	59	43	67	57	97	
53	34	37	13	79	86	96	77	77	61	5	66	74	15	19	80	5	53	45	34	27	45	40	2	14	30	16	57	96	29	
55	50	18	47	18	96	34	70	31	66	32	35	88	61	5	8	43	63	17	43	96	43	87	38	1	3	23	70	59	75	
98	69	26	72	18	98	25	7	69	55	73	2	45	62	63	49	25	61	13	41	5	65	40	91	58	40	93	80	65	9	
56	21	78	38	92	95	37	18	57	61	73	31	62	19	48	80	24	73	42	36	15	2	2	54	93	15	49	43	95	70	
52	8	90	85	1	83	81	37	2	93	53	30	26	17	49	73	52	28	47	94	63	18	51	21	27	45	35	76	44	85	
47	51	49	92	37	49	76	73	42	33	67	94	63	92	12	67	23	20	94	69	15	14	86	21	88	15	22	79	46	65	
21	48	17	69	41	53	20	72	27	61	6	93	56	24	43	24	46	65	43	95	89	13	11	33	33	54	47	54	88	48	
74	11	51	90	79	91	98	98	20	26	16	79	75	28	5	19	51	50	39	49	3	29	61	13	61	49	22	63	59	12	
66	34	22	18	80	56	64	79	12	83	61	27	64	91	54	24	11	60	29	5	10	31	33	26	97	50	31	21	14	89	
86	36	78	9	53	15	64	19	94	75	57	56	58	76	48	13	1	14	29	30	72	92	16	60	20	15	11	6	89	79	
50	76	16	29	84	24	44	5	42	93	36	55	6	93	32	9	61	87	76	89	72	49	83	87	10	58	3	75	63	47	
11	14	24	26	96	63	5	95	68	3	45	59	57	50	53	44	58	69	32	89	16	5	39	98	48	5	13	6	35	31	
53	45	98	76	26	95	41	30	48	64	32	92	24	44	98	32	88	57	2	21	4	17	80	42	70	29	2	38	34	36	
68	86	36	67	20	17	20	16	47	23	35	34	16	14	78	15	45	23	28	2	97	31	73	78	28	98	62	84	38	96	
75	7	39	13	30	14	29	5	29	31	27	63	21	96	76	98	13	76	76	94	78	74	80	8	54	63	7	71	48	98	
68	79	61	63	47	90	76	31	94	61	62	76	79	82	73	57	37	41	88	14	90	23	87	71	30	96	90	91	69	93	
90	92	73	52	12	21	97	44	52	48	6	69	25	84	8	98	96	98	40	86	13	32	10	55	58	94	9	49	86	33	
98	77	80	72	85	48	49	83	91	56	87	52	26	13	91	87	66	89	86	62	32	98	49	41	10	8	90	18	13	77	
6	12	12	86	39	52	89	87	36	81	98	78	88	25	91	80	13	58	26	98	21	57	53	69	54	19	33	45	90	1	
24	96	66	89	39	6	42	29	49	33	65	48	13	54	29	59	35	95	18	61	51	93	73	5	19	28	23	51	73	15	
