n 200
m 10
n_day 2
hl 1439
o 5
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 2338

peak_start
1080
2519

peak_end
1259
2698

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
122
185
125
139
99
141
54
152
133
94

processing
33	10	78	86	18	57	78	37	96	12	
35	22	41	64	47	4	66	38	13	7	
37	1	58	74	28	5	77	83	2	83	
43	34	48	22	75	65	34	55	4	85	
22	38	62	18	3	11	76	25	4	88	
85	40	45	44	69	72	48	47	56	5	
85	54	92	34	31	69	1	65	79	58	
7	2	95	69	74	54	35	51	34	38	
94	20	33	94	63	3	68	66	5	79	
71	90	89	64	25	21	34	79	41	68	
38	48	26	89	18	1	98	52	7	33	
45	56	52	77	52	70	35	75	37	39	
11	9	84	1	73	11	22	62	45	18	
32	83	65	13	73	38	13	72	45	73	
60	89	30	13	67	37	82	57	13	74	
96	78	83	81	78	13	47	55	30	92	
73	61	32	93	29	6	33	41	33	77	
69	48	24	1	60	90	91	97	49	6	
72	2	83	12	38	18	78	85	29	10	
34	3	26	65	95	55	26	83	51	14	
62	22	61	85	76	76	32	68	74	36	
29	3	91	67	69	31	41	48	17	69	
57	6	71	39	70	23	93	51	8	45	
64	25	66	80	11	97	57	96	67	86	
34	51	88	80	20	14	12	60	62	82	
30	74	87	56	14	58	78	62	64	41	
9	29	65	30	10	31	29	66	29	95	
53	18	3	97	97	22	12	65	37	29	
48	66	59	37	77	72	50	13	36	16	
53	98	98	74	29	64	60	57	31	44	
9	40	17	12	92	16	87	59	36	26	
88	83	47	48	21	80	75	27	92	66	
42	2	65	95	31	50	60	91	62	47	
36	71	86	53	38	35	24	80	93	59	
61	38	43	64	41	20	45	72	46	92	
39	43	93	60	39	26	11	55	72	72	
3	9	98	44	61	91	78	84	73	28	
98	35	22	43	54	18	18	98	89	19	
91	84	17	42	45	11	23	55	65	94	
28	67	4	82	12	21	74	45	60	4	
29	60	39	6	58	48	23	75	48	14	
49	94	53	65	37	97	75	59	53	42	
10	36	64	14	19	32	34	49	76	49	
52	60	10	46	65	67	94	88	97	43	
57	47	92	11	13	31	63	88	45	17	
85	55	8	50	24	81	81	13	31	15	
61	82	74	71	30	95	93	25	40	92	
23	96	94	16	62	63	46	26	8	47	
96	92	3	59	97	26	41	80	92	71	
50	54	55	25	80	84	75	75	64	16	
24	86	13	19	3	30	81	5	11	88	
7	8	37	9	67	36	88	9	71	81	
36	22	90	46	2	72	31	77	48	50	
92	27	91	61	45	49	90	82	53	57	
27	59	64	64	23	86	1	66	51	71	
4	42	92	94	87	93	67	73	27	70	
24	21	96	16	81	42	64	28	79	73	
84	8	87	6	71	12	47	27	33	97	
97	37	40	46	32	28	94	54	56	23	
25	79	97	22	50	79	19	16	62	98	
44	48	61	32	9	33	97	55	59	32	
54	13	68	49	58	55	33	9	10	88	
85	34	25	83	11	74	19	29	45	81	
82	88	84	44	76	92	32	74	48	46	
61	57	58	30	62	71	40	94	80	49	
39	22	38	63	7	4	93	25	87	39	
7	70	83	46	70	60	39	57	35	87	
5	96	45	62	81	8	89	77	57	26	
27	52	47	21	70	53	24	64	34	66	
5	94	38	87	42	63	48	80	21	38	
24	25	89	25	43	28	32	33	6	45	
58	86	96	6	8	67	15	86	87	48	
53	91	97	46	35	40	64	38	76	41	
31	1	21	22	25	63	5	13	95	10	
13	10	95	10	70	59	32	84	2	20	
87	10	66	85	56	56	81	75	93	14	
17	26	14	38	3	93	56	7	61	9	
70	73	18	66	38	87	80	25	28	81	
45	70	47	66	13	58	24	49	34	72	
62	51	53	31	44	55	25	1	17	85	
9	86	15	81	10	52	25	45	77	53	
28	77	78	30	44	90	87	23	40	22	
95	3	28	5	34	27	16	14	28	32	
55	90	74	69	28	39	23	53	83	55	
61	66	33	40	95	32	32	83	11	27	
7	61	30	88	65	19	17	80	32	98	
68	42	89	43	13	19	81	89	27	65	
45	87	87	33	82	83	64	15	68	30	
96	30	90	27	19	57	1	89	92	86	
88	61	30	35	59	96	9	95	86	35	
18	32	77	6	64	60	88	83	31	13	
15	28	42	60	10	17	18	10	7	66	
51	95	28	36	85	43	33	93	39	20	
29	12	7	61	17	26	22	61	11	52	
73	79	35	71	40	44	87	14	9	49	
79	60	1	62	95	85	6	84	79	1	
5	63	66	12	25	83	91	47	1	3	
