n 150
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
108
116
75
172
139
83
50
134
183
85
161
61
97
167
51
53
158
157
117
195
102
101
41
87
166
176
164
69
143
97

processing
26	18	8	21	50	86	2	17	60	85	66	82	49	1	11	4	88	70	72	72	13	76	67	40	49	20	36	85	21	65	
79	46	82	86	22	88	29	78	60	89	64	81	28	68	81	38	72	26	63	1	97	31	32	22	70	81	41	62	23	17	
28	3	63	66	45	40	55	73	73	70	63	93	52	90	18	88	84	89	15	4	45	14	35	33	35	60	15	31	23	91	
47	51	50	65	18	94	7	28	68	35	97	87	29	50	34	3	39	73	91	9	77	92	22	13	26	56	28	94	86	51	
42	35	57	91	55	30	42	17	57	12	52	11	54	36	16	87	38	10	62	85	18	40	34	40	8	59	51	35	10	93	
41	7	83	97	98	39	82	41	56	40	8	9	6	17	98	21	60	38	30	23	78	4	18	13	43	79	27	49	69	90	
43	12	96	27	64	51	66	48	48	77	43	11	85	49	28	40	25	87	33	11	65	12	14	38	78	12	72	60	60	42	
51	59	9	5	85	73	55	8	76	4	84	20	69	26	24	96	66	49	40	54	15	60	66	28	97	1	39	26	61	54	
67	13	14	76	17	55	6	28	62	81	31	48	56	55	29	80	52	50	84	47	6	98	8	27	27	60	27	21	85	87	
74	54	56	44	85	28	98	90	55	61	28	42	64	83	96	49	64	50	98	5	52	5	4	60	31	84	21	14	6	62	
2	36	17	57	79	57	85	34	4	95	94	31	38	16	15	36	64	35	41	63	39	92	24	97	9	10	82	30	23	88	
91	79	79	63	91	15	75	33	48	78	30	43	10	67	14	78	58	33	68	98	96	9	48	75	7	56	40	88	41	63	
33	87	43	67	51	35	81	27	68	30	60	97	29	25	21	42	5	79	75	72	34	28	36	81	58	96	93	97	42	35	
61	30	24	59	97	30	50	79	13	19	11	72	71	93	97	47	90	57	81	66	30	17	49	22	53	62	19	47	61	16	
38	77	46	17	38	44	46	43	78	58	61	44	86	87	38	40	89	30	96	72	51	81	44	56	4	96	19	77	1	79	
48	38	14	93	10	7	92	55	49	72	69	65	17	56	53	11	51	43	40	48	70	46	30	15	3	88	13	22	22	67	
56	69	60	69	20	69	75	13	79	25	40	49	89	13	60	97	23	12	96	62	59	23	63	45	38	66	88	6	43	11	
72	98	35	87	25	10	57	55	77	37	80	18	42	26	84	3	79	8	15	32	25	29	54	88	29	91	55	18	96	53	
82	25	52	73	67	32	82	25	87	60	18	24	34	59	49	19	17	83	81	85	16	7	16	70	50	98	18	60	18	70	
14	55	50	22	29	19	53	67	43	41	82	16	20	17	74	25	90	91	9	28	77	79	34	48	50	84	48	23	1	21	
92	15	75	44	36	60	62	44	28	60	41	11	76	60	82	7	84	29	53	93	56	86	73	89	35	78	30	38	2	85	
14	94	1	89	93	90	6	56	35	33	71	75	97	48	37	80	55	22	10	9	70	65	50	44	12	41	77	95	78	79	
81	48	30	37	92	24	28	97	35	19	85	7	93	83	11	85	65	65	63	30	29	34	51	35	78	18	75	12	68	10	
90	7	57	21	43	50	98	27	48	88	45	34	95	93	73	7	80	39	27	44	24	11	33	74	45	66	47	21	78	17	
85	69	23	43	46	21	93	1	3	96	89	47	86	41	96	60	3	33	54	29	76	77	93	64	9	94	32	55	70	11	
27	56	35	49	1	80	26	49	81	28	2	27	31	87	67	28	4	69	60	57	53	91	90	47	56	98	96	87	10	68	
53	37	79	88	41	79	69	66	83	7	50	85	33	80	29	1	9	33	69	24	89	23	16	80	26	27	35	23	16	45	
46	24	81	27	13	23	61	38	45	2	44	94	86	33	31	16	87	93	4	14	18	93	36	87	30	17	15	65	94	84	
65	41	10	3	23	22	25	40	59	25	41	59	74	28	91	60	97	79	54	3	48	27	51	40	15	80	56	84	2	7	
25	22	4	34	24	26	12	5	21	26	83	61	40	59	44	32	20	43	67	30	1	70	56	51	11	27	86	67	66	44	
73	90	65	32	80	45	58	91	49	78	72	33	95	14	47	40	1	67	82	23	52	38	93	9	88	5	35	32	27	56	
75	2	48	95	87	29	41	46	75	45	80	48	78	32	61	26	71	18	48	11	40	1	48	34	64	92	39	54	25	21	
12	1	76	59	51	65	87	92	66	19	38	47	66	71	34	83	53	7	2	2	17	41	57	20	31	22	13	25	31	37	
45	42	91	23	56	44	87	98	91	54	18	30	57	84	57	90	68	11	96	69	12	68	65	24	88	95	1	56	21	32	
49	66	29	41	88	85	40	76	84	32	31	4	18	87	43	30	35	66	40	32	90	7	56	56	31	45	53	85	2	29	
18	6	94	3	47	83	87	42	16	28	30	3	85	3	45	29	32	79	50	71	13	41	33	24	97	63	68	7	6	25	
35	23	31	31	79	33	69	67	30	41	51	59	43	37	61	87	22	48	68	71	20	36	14	53	59	12	71	82	18	76	
62	52	55	48	38	35	80	9	58	12	5	10	26	47	46	43	35	23	90	58	94	66	49	9	74	63	74	46	2	47	
78	64	54	88	13	92	78	49	56	37	16	60	2	41	8	4	83	96	26	75	12	21	42	16	29	17	79	58	18	80	
6	51	1	60	40	14	53	74	18	64	66	33	79	68	73	86	71	14	39	96	44	6	73	41	22	57	13	56	17	30	
91	22	37	92	37	32	61	45	7	78	10	73	66	88	42	94	31	68	9	26	21	52	31	93	92	8	8	6	19	24	
90	12	1	82	59	38	15	21	82	76	54	48	50	21	37	47	70	24	70	79	49	90	86	35	41	36	43	48	41	17	
71	86	28	27	69	42	64	84	18	4	61	27	51	66	3	87	68	73	12	39	53	16	84	94	51	26	31	49	73	28	
65	1	15	49	82	40	90	47	79	64	50	41	90	56	62	93	45	31	67	12	69	75	28	10	70	34	36	3	38	64	
84	4	21	98	8	4	93	54	6	73	19	12	69	10	67	32	58	67	18	26	79	42	2	62	52	28	51	87	84	88	
8	69	47	28	24	55	85	19	64	91	91	82	58	62	47	26	49	7	93	67	86	29	10	44	90	17	71	96	5	56	
85	67	80	33	50	5	43	37	23	8	83	70	89	42	87	92	67	37	54	17	59	95	45	25	40	90	41	12	87	2	
23	73	68	4	62	19	63	6	11	85	14	93	12	58	36	98	51	59	91	60	75	7	57	22	31	96	67	28	64	56	
83	42	84	8	46	47	80	10	53	91	50	66	85	18	25	77	71	32	37	63	47	67	70	5	44	56	57	13	39	76	
24	23	19	9	30	64	56	12	29	64	4	35	85	44	52	65	22	24	96	14	43	1	81	68	59	26	79	17	92	20	
92	17	42	13	26	72	32	37	83	17	2	42	51	86	85	58	52	63	37	6	32	35	60	68	4	20	50	83	37	43	
4	84	60	45	52	41	72	40	33	12	12	88	53	18	31	94	75	38	58	67	43	45	4	58	15	7	78	64	45	70	
62	4	11	77	5	63	19	76	58	7	88	69	94	42	86	26	37	18	64	50	84	62	51	87	22	65	50	1	84	94	
70	47	98	80	26	4	98	44	35	13	51	24	81	2	22	24	28	14	41	47	20	81	10	70	25	31	36	74	85	75	
26	12	23	79	48	48	38	3	48	72	16	54	52	52	55	29	76	38	42	72	84	17	54	94	86	79	80	77	10	23	
