n 100
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
130
81
112
84
185
173
166
127
112
60
194
87
60
153
50
173
147
92
92
88
90
50
194
48
75
115
142
192
148
159

processing
95	33	67	19	83	58	3	39	87	3	23	10	34	41	31	42	16	60	32	26	93	89	58	21	5	21	79	36	53	47	
27	6	35	49	78	19	8	80	13	50	39	90	59	72	86	45	70	4	7	57	83	55	47	97	75	52	73	11	43	28	
13	25	87	47	73	66	21	36	4	88	85	42	79	2	69	22	46	94	25	8	9	64	62	55	62	93	62	36	5	6	
19	18	30	61	64	58	83	41	49	86	30	36	83	10	91	9	85	92	59	12	56	67	31	73	77	92	67	41	83	72	
2	58	45	32	20	64	45	4	6	94	45	35	85	83	98	77	92	85	70	52	52	81	74	82	56	52	75	24	48	15	
51	50	72	95	37	48	61	81	7	66	76	52	3	18	36	56	94	83	42	22	90	93	58	65	76	15	73	8	39	22	
23	45	71	50	96	9	97	58	90	6	79	23	13	37	95	48	93	46	87	36	67	78	85	27	1	62	95	73	70	35	
94	48	36	67	97	33	31	52	90	76	13	26	55	79	19	51	82	13	96	70	4	21	50	88	3	50	8	97	24	77	
88	73	80	25	95	34	57	28	41	4	59	9	83	15	87	3	65	71	69	63	42	73	39	47	18	41	52	25	39	31	
57	82	6	38	8	2	72	20	83	14	77	44	23	62	58	65	64	79	37	89	97	35	63	37	37	36	77	89	61	71	
75	73	55	80	13	18	38	40	92	76	9	70	21	85	87	35	52	9	69	44	97	67	34	61	59	71	52	91	17	68	
63	91	43	73	29	11	47	66	50	40	97	14	65	74	1	54	10	8	62	34	7	60	2	41	76	16	67	29	8	83	
97	70	75	95	1	59	7	3	26	56	96	79	25	62	54	79	17	19	42	34	52	49	93	9	89	26	24	13	11	31	
95	9	56	27	59	12	86	65	14	67	76	11	47	2	73	2	81	45	20	24	35	27	28	29	35	72	11	58	84	21	
44	36	83	2	63	43	13	6	9	81	28	84	91	31	41	21	32	77	22	8	57	56	34	84	40	25	58	50	82	43	
70	28	35	10	83	97	52	51	58	16	33	85	55	26	71	52	2	5	30	23	66	86	78	55	72	20	79	85	25	19	
83	51	2	19	60	84	71	68	90	84	39	25	27	50	6	97	3	7	57	32	84	24	74	19	35	47	92	69	87	19	
87	71	69	44	46	84	83	72	53	75	58	48	1	84	97	60	82	1	66	41	32	7	20	7	26	10	9	19	79	51	
37	67	78	61	13	25	47	95	96	55	27	55	4	27	94	2	86	78	56	10	74	44	16	49	6	95	59	15	16	39	
21	8	7	98	69	73	78	71	26	76	27	52	86	31	35	82	86	76	17	44	85	46	87	57	94	92	9	54	62	24	
92	39	86	55	38	56	83	18	28	10	49	54	18	90	40	8	29	82	83	1	81	26	46	25	38	42	72	46	95	90	
26	45	30	13	1	23	24	83	40	51	49	44	60	22	90	56	29	20	93	67	75	75	92	22	1	85	63	28	33	16	
19	58	60	48	26	16	27	49	98	66	1	4	66	16	25	57	27	9	32	21	76	8	95	25	84	51	12	4	79	98	
19	53	57	34	57	38	49	83	86	5	6	42	62	71	13	87	83	40	51	71	60	82	34	13	9	19	63	20	23	97	
73	95	52	85	85	10	24	89	92	11	93	97	8	57	70	20	1	10	59	7	36	75	89	70	87	97	44	51	72	66	
50	46	19	3	32	5	12	55	49	59	21	44	57	82	56	82	3	12	48	18	72	83	92	62	54	80	16	98	32	87	
21	37	88	93	39	75	97	6	85	48	20	7	47	77	88	58	60	47	25	63	64	96	48	57	60	57	38	75	56	25	
20	33	62	9	27	56	40	80	18	26	83	37	87	31	15	76	44	31	78	68	93	43	21	42	55	80	1	92	13	12	
73	86	44	36	50	27	91	89	8	10	17	90	47	5	76	17	36	75	47	16	98	96	14	20	93	69	56	93	18	68	
61	90	55	60	81	6	42	74	51	49	39	67	94	41	27	27	58	62	3	6	33	2	57	47	22	52	71	33	2	44	
2	62	90	12	78	72	71	21	3	23	26	42	45	21	82	71	4	95	35	6	57	23	62	15	25	39	66	51	71	68	
95	72	85	42	39	20	69	11	41	72	88	22	69	34	42	8	7	45	5	95	7	61	19	68	31	98	8	97	50	34	
22	46	7	62	43	1	82	14	65	78	85	54	1	11	44	96	72	6	97	76	2	5	92	74	28	79	73	89	77	25	
24	54	26	30	17	69	84	98	82	50	33	24	6	33	34	49	31	7	54	29	39	11	87	86	40	16	66	69	6	98	
49	29	9	74	14	26	98	97	79	37	4	14	60	9	2	49	13	86	12	22	70	6	86	58	47	82	29	69	52	34	
68	2	18	77	31	85	58	85	83	92	23	43	7	39	7	63	43	20	50	10	95	22	15	39	35	62	22	64	32	29	
53	55	84	71	87	70	57	46	56	96	40	35	40	2	29	46	20	27	21	70	37	72	47	51	66	81	68	87	2	55	
71	55	66	56	27	54	27	39	56	39	90	51	73	31	52	57	33	72	83	9	97	21	36	1	28	3	81	51	45	39	
62	17	93	29	28	75	82	55	69	93	49	61	45	23	47	53	35	35	80	19	44	78	94	35	78	77	38	16	29	38	
10	90	55	4	20	38	34	58	92	5	8	42	65	53	20	67	61	10	4	42	83	3	75	78	37	10	56	74	79	84	
68	89	32	78	92	51	17	82	64	11	86	72	8	8	80	82	74	42	91	33	83	75	35	15	10	72	24	65	3	4	
7	70	92	92	49	42	98	66	25	64	32	66	91	93	29	72	76	4	69	25	91	9	55	27	23	21	98	2	41	57	
5	3	82	53	94	33	50	94	54	30	59	41	95	7	35	25	34	67	82	4	47	30	66	57	57	44	77	12	45	20	
68	5	22	8	57	18	94	8	67	49	91	81	45	87	87	35	67	22	3	7	79	5	36	2	18	48	45	94	60	89	
69	83	93	47	90	8	64	85	15	86	89	62	68	35	50	56	26	73	33	82	35	67	87	70	68	6	20	14	55	35	
58	26	19	52	72	65	59	91	51	30	78	96	91	47	86	96	58	13	26	46	95	60	14	39	86	37	44	61	50	98	
95	9	79	69	16	8	35	75	98	42	60	33	39	52	35	26	5	92	39	31	39	89	90	8	29	77	44	72	39	49	
27	89	57	62	60	29	69	94	5	25	37	64	13	75	71	48	57	75	95	51	7	90	41	53	97	69	31	97	96	26	
47	78	16	60	95	75	88	66	71	48	46	63	67	58	94	93	61	52	69	14	4	32	5	98	84	57	24	70	11	21	
95	58	54	67	73	51	43	18	72	69	21	73	34	87	32	29	37	49	36	7	62	93	92	22	92	33	34	17	59	45	
91	11	58	2	77	32	52	76	5	79	2	25	53	89	67	41	19	5	89	10	65	8	4	15	83	51	47	18	67	7	
62	15	18	21	17	50	8	24	27	12	59	29	90	13	19	58	53	92	18	97	57	39	60	17	53	44	67	1	62	90	
62	79	6	35	56	76	40	63	56	67	31	16	51	76	28	25	90	37	72	9	89	85	47	7	3	55	6	69	56	23	
60	73	4	22	63	15	53	4	77	10	26	63	25	32	95	9	57	86	1	84	50	45	70	53	7	72	9	13	97	20	
35	58	92	92	35	12	8	88	16	41	97	41	59	78	29	55	42	85	42	96	26	48	42	52	2	49	79	64	17	77	
84	51	91	33	45	27	45	52	16	16	48	69	56	9	4	40	63	45	80	61	96	8	10	39	15	65	43	93	30	59	
72	69	66	20	4	66	46	4	73	18	19	23	42	30	31	45	70	93	45	51	11	42	14	74	36	28	40	35	23	26	
93	50	94	16	69	53	81	70	56	56	87	74	78	30	60	10	74	31	58	74	81	25	17	51	98	9	78	94	43	2	
75	91	7	26	9	75	79	89	47	90	46	89	22	79	21	81	44	50	13	4	26	49	82	96	1	37	6	35	32	4	
36	8	95	97	34	5	73	68	93	75	59	95	66	80	75	42	62	21	91	30	78	72	35	61	26	89	97	85	25	85	
89	17	92	85	15	81	89	43	6	39	20	65	35	41	2	66	82	64	86	30	49	65	58	39	81	39	84	79	25	10	
21	69	80	69	55	50	51	1	93	13	94	68	77	84	10	78	51	47	97	38	76	4	58	89	42	40	29	27	75	10	
91	95	78	72	65	89	78	72	45	72	84	40	95	18	26	6	95	32	8	50	70	39	53	29	30	50	25	14	77	1	
