n 20
m 5
hl 143
o 3
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
176
193
133
116
113

processing
65	28	51	39	63	
60	29	54	32	14	
75	60	80	74	51	
43	85	70	85	70	
57	66	25	70	95	
25	56	78	34	86	
69	1	15	22	93	
33	37	77	87	68	
91	19	83	72	92	
89	70	35	60	12	
6	19	34	85	88	
30	11	1	63	1	
42	87	55	13	10	
5	45	2	81	87	
69	29	61	53	57	
11	43	28	45	59	
94	6	77	29	90	
22	14	57	22	32	
13	19	20	67	31	
84	71	32	85	9	

setup
6	8	8	3	2	4	1	3	1	7	5	6	6	3	6	4	6	3	6	7	
4	4	7	3	4	2	4	4	4	8	6	7	4	5	4	3	4	5	6	7	
6	5	7	4	3	5	7	3	4	6	8	4	6	4	2	3	2	8	8	7	
5	7	5	6	6	7	3	3	3	5	6	2	2	3	5	4	4	6	7	7	
3	6	6	5	5	8	3	3	5	7	7	4	5	6	3	4	7	5	8	3	
8	8	2	4	7	7	7	8	4	5	6	4	8	8	8	4	5	4	3	8	
2	8	7	4	3	6	4	6	4	3	4	4	4	8	3	3	3	5	7	6	
7	2	6	6	6	4	7	3	8	5	8	4	4	7	6	6	7	7	3	6	
2	8	7	7	3	6	5	4	6	7	6	1	5	6	5	4	4	8	5	7	
2	7	7	4	8	4	8	8	5	8	6	5	6	3	8	3	4	4	7	7	
3	6	5	6	2	7	7	8	1	7	7	5	7	6	4	8	8	4	4	4	
8	8	3	3	4	8	6	2	7	5	4	7	8	8	5	5	7	5	6	2	
2	8	6	5	6	4	7	4	6	4	3	3	6	7	4	6	5	5	5	2	
7	8	2	3	5	7	1	6	3	6	4	3	8	3	6	5	4	6	4	8	
2	7	4	4	5	5	6	6	8	7	4	5	8	4	4	5	3	4	4	5	
4	8	7	6	6	8	8	3	8	3	4	5	4	5	7	4	5	4	5	6	
8	5	3	4	8	6	8	3	7	1	6	6	8	6	7	6	5	5	8	6	
7	7	6	8	6	4	8	7	4	8	3	5	5	5	5	6	3	4	6	6	
3	6	2	4	5	4	8	8	4	6	2	5	7	7	2	4	3	6	7	1	
4	7	3	5	2	8	5	3	7	4	5	7	3	8	7	5	5	5	5	7	

8	1	2	1	5	8	5	5	8	4	1	8	8	7	3	7	4	4	3	2	
8	8	8	8	7	7	8	8	1	5	8	2	5	5	6	4	6	5	6	7	
5	5	6	8	3	3	8	7	5	5	4	5	8	1	2	3	5	6	7	8	
5	5	4	8	2	3	7	7	3	2	6	5	8	4	3	3	3	4	8	8	
5	5	8	8	8	8	3	5	6	7	6	7	4	7	8	7	6	8	5	7	
8	8	6	3	3	7	1	6	7	6	4	6	2	6	7	8	6	7	5	5	
1	1	8	3	3	7	7	4	8	3	5	5	7	3	2	5	6	7	5	4	
3	3	7	4	4	8	8	6	8	6	8	4	3	6	8	7	5	7	6	7	
6	6	6	4	4	8	8	7	5	3	3	8	7	7	2	5	7	7	7	1	
3	3	8	1	2	8	8	6	4	3	4	7	7	8	3	7	8	7	7	4	
1	1	8	2	1	8	8	7	6	6	3	8	8	5	4	8	7	5	2	5	
3	3	8	5	5	8	8	5	4	4	3	8	7	6	3	6	6	4	2	5	
4	4	6	7	7	5	5	3	7	7	4	5	6	4	3	5	4	6	4	5	
5	5	7	5	5	4	4	6	7	7	7	3	8	5	6	8	5	5	5	4	
4	4	6	4	4	6	6	6	3	3	4	7	7	8	6	4	6	8	4	5	
5	5	5	8	8	7	7	4	6	6	7	4	5	6	8	5	3	7	6	7	
1	1	8	4	4	7	7	4	5	3	2	8	7	7	7	6	5	8	6	7	
3	3	8	3	2	8	8	5	4	2	4	6	5	7	7	7	6	4	4	4	
8	8	4	8	7	7	7	6	8	7	8	4	6	3	4	3	4	8	6	7	
4	4	7	4	3	7	7	4	8	6	7	4	6	8	5	2	2	7	4	8	

