n 200
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
55
192
190
62
158
156
192
137
164
87
49
97
136
128
177
57
196
175
108
85
55
155
132
132
182
89
156
182
106
198

processing
2	39	71	16	59	46	76	83	59	40	1	84	67	51	96	17	58	55	38	59	96	48	14	92	90	22	66	28	2	50	
23	57	44	49	28	4	94	59	87	11	98	43	50	67	93	48	39	52	4	32	66	55	79	35	48	26	57	69	10	14	
75	86	27	20	36	54	24	86	15	12	96	14	10	3	36	58	50	30	11	9	62	33	19	42	23	23	24	35	91	33	
49	67	74	75	87	11	30	66	96	98	33	49	68	42	8	5	1	57	35	65	22	96	53	40	93	76	62	72	12	11	
60	16	77	35	90	21	2	76	42	97	31	74	4	98	17	11	59	71	23	49	92	98	46	46	94	94	77	57	24	45	
23	83	60	2	20	8	76	21	39	20	73	69	93	32	69	66	96	83	92	75	33	85	74	34	33	25	29	65	82	8	
11	6	91	71	61	66	34	93	42	72	14	70	42	62	58	66	83	55	6	33	85	38	19	17	71	7	41	56	72	78	
63	82	40	11	10	2	76	43	50	19	70	63	45	68	81	4	89	21	58	95	53	1	34	72	17	7	34	13	18	7	
91	80	45	32	91	10	87	68	9	39	43	78	57	87	47	93	46	38	16	59	34	24	59	67	51	31	29	85	44	46	
47	90	82	91	77	74	57	65	97	65	59	95	44	18	39	91	66	84	84	81	45	73	7	5	41	57	90	26	97	35	
27	46	80	10	92	58	39	50	78	38	16	39	88	16	12	29	62	77	68	47	16	14	21	22	73	17	34	64	96	87	
54	25	34	35	88	27	48	29	33	27	22	4	65	11	19	32	93	80	11	63	82	26	32	58	3	6	31	90	25	28	
78	34	8	13	24	96	94	71	26	82	54	3	85	20	13	6	52	62	41	18	80	79	43	13	92	1	73	24	90	53	
8	26	87	15	92	66	12	87	93	91	70	48	93	13	23	62	72	30	79	68	47	60	48	45	28	42	45	56	21	91	
11	28	18	53	43	11	74	10	54	68	57	79	17	51	91	94	68	64	25	48	34	72	63	37	18	91	34	19	48	55	
11	14	38	82	22	36	48	96	46	3	21	4	38	38	10	30	87	34	50	13	81	39	84	2	75	58	92	65	76	95	
75	42	65	14	79	86	6	28	39	7	85	60	64	24	53	73	9	41	8	58	53	45	52	93	46	83	8	93	49	39	
45	25	36	11	92	16	53	97	97	91	59	83	8	24	62	60	53	71	56	16	84	65	60	38	15	61	22	22	11	26	
60	56	6	95	22	53	12	74	8	10	23	66	49	84	90	12	2	44	38	57	59	24	77	75	17	91	91	92	14	4	
73	29	15	78	25	36	32	90	66	39	56	88	7	6	73	52	71	30	95	11	87	11	88	21	41	60	14	34	9	27	
91	81	12	7	16	36	96	47	28	63	42	39	52	4	98	81	55	70	12	7	36	54	71	79	75	14	94	44	3	4	
26	49	40	37	11	55	73	8	58	56	71	1	50	78	4	49	60	14	74	28	74	66	37	46	2	67	15	96	12	71	
55	38	21	95	74	85	51	4	93	64	59	65	64	10	98	23	14	60	90	88	43	65	55	79	13	56	4	81	9	15	
54	64	52	30	16	82	17	22	85	11	86	2	31	7	11	30	30	25	45	21	68	43	42	78	78	54	35	81	90	98	
95	45	19	5	75	34	86	47	11	28	13	96	29	43	5	94	28	88	74	29	64	43	71	7	22	50	16	12	86	8	
65	83	8	83	43	38	72	84	84	83	13	96	36	96	94	40	91	78	83	66	8	5	64	34	11	41	40	81	8	27	
44	73	65	51	13	9	45	85	92	30	25	61	82	60	58	33	56	6	12	40	27	73	44	46	9	11	86	4	47	49	
30	46	77	95	96	90	59	96	32	9	28	12	25	65	71	82	97	28	43	11	24	69	39	23	16	3	87	57	6	35	
61	90	80	40	86	34	85	2	31	72	10	14	83	34	78	11	71	77	93	15	43	18	39	81	94	10	84	83	66	45	
19	29	36	55	24	77	88	10	79	20	37	88	34	75	78	67	85	50	45	79	21	87	52	59	26	48	69	65	32	90	
11	6	74	47	60	53	25	5	18	5	25	54	49	14	30	28	36	17	33	81	51	53	25	59	68	50	8	92	16	93	
39	27	54	15	29	16	23	53	20	41	14	98	94	18	67	26	45	5	96	33	41	4	42	65	62	65	17	69	58	86	
19	96	68	73	66	96	44	89	7	19	31	20	73	80	37	95	61	37	1	58	25	41	62	66	62	79	32	34	50	45	
21	24	97	89	52	64	42	51	10	48	70	94	23	98	76	15	94	38	7	95	52	32	91	69	53	54	49	41	43	54	
85	64	34	83	10	85	5	51	38	14	55	63	64	33	62	95	48	57	88	10	9	41	41	2	65	50	11	70	90	54	
79	76	73	14	17	82	55	21	88	48	88	98	12	53	33	29	49	36	41	39	45	50	35	42	7	56	91	71	27	82	
80	61	15	54	75	31	91	85	51	37	34	41	90	1	49	24	83	54	59	25	92	6	30	82	3	90	93	93	63	75	
76	98	38	46	10	14	77	56	98	83	48	87	79	40	87	30	63	71	83	78	95	32	39	81	69	41	72	64	35	90	
40	66	90	33	13	55	46	45	12	1	84	60	87	64	1	31	49	19	3	87	96	54	74	90	36	45	32	63	64	22	
55	59	43	2	92	56	56	93	56	23	50	41	82	38	7	38	69	11	57	27	98	10	80	73	56	71	73	87	36	38	
65	46	53	9	47	2	20	58	94	76	80	45	72	64	39	34	57	63	45	69	45	44	35	81	72	90	53	47	34	44	
40	98	89	92	9	91	49	28	50	45	59	32	45	87	51	39	22	9	57	66	34	4	65	68	84	39	15	92	41	48	
38	80	48	28	30	12	75	78	93	26	78	54	57	79	96	9	19	19	72	32	41	7	35	61	30	74	1	44	67	41	
91	6	77	94	88	8	7	64	85	56	45	65	65	4	45	62	66	19	80	93	50	76	55	84	39	84	15	93	83	82	
36	32	43	14	27	86	21	88	7	61	45	52	27	65	55	71	28	76	90	63	71	95	41	27	37	79	67	51	73	51	
34	64	38	33	33	65	20	9	10	27	70	10	78	96	74	88	25	3	65	70	65	91	66	7	74	4	41	42	11	16	
48	98	35	86	32	68	8	8	76	17	34	47	80	67	1	55	12	79	13	32	50	77	25	71	40	98	31	36	95	41	
51	98	40	86	85	28	11	48	35	86	64	24	89	45	46	89	55	57	25	67	88	74	2	68	2	41	67	32	76	19	
28	83	19	68	26	59	51	36	9	85	77	28	64	67	73	11	13	83	23	37	52	12	66	53	36	68	49	58	55	26	
77	83	64	95	8	89	11	58	80	19	44	59	47	9	81	75	73	94	59	95	86	66	62	54	20	97	77	68	57	33	
50	89	17	69	41	24	16	51	81	95	70	80	11	18	44	48	48	72	43	8	68	84	30	86	93	49	84	71	73	96	
6	78	86	76	48	82	56	19	35	38	16	6	74	80	77	73	29	26	47	27	87	16	67	18	57	61	23	97	34	51	
94	93	84	38	70	87	21	81	8	11	75	77	16	50	58	48	24	43	29	26	25	18	96	91	89	54	54	67	52	43	
73	4	37	58	95	62	47	17	45	54	28	21	32	97	26	45	47	5	43	31	31	68	4	28	16	93	81	25	17	35	
67	90	38	59	5	88	77	51	6	23	60	87	97	47	42	24	92	44	28	90	74	58	59	78	41	31	28	24	55	98	
14	24	89	7	38	50	94	16	2	55	92	18	44	90	64	41	69	57	84	53	49	15	66	63	48	9	93	75	32	6	
75	45	29	21	7	22	70	2	38	28	56	31	45	55	23	10	95	47	23	36	1	27	7	67	89	54	75	40	85	62	
45	61	62	29	37	68	50	63	69	43	90	80	74	90	37	52	55	87	54	77	79	55	59	85	77	50	94	53	45	80	
70	45	96	33	29	89	2	34	53	26	77	98	7	8	89	97	15	45	86	68	78	22	78	38	62	56	43	57	64	43	
93	35	87	46	23	71	36	24	7	88	5	39	43	66	2	33	64	16	34	7	39	67	28	73	6	45	84	5	58	50	
47	52	40	90	53	63	62	89	42	24	34	47	62	77	68	63	65	33	34	98	40	29	22	23	3	82	68	42	86	81	
91	88	88	87	79	42	51	97	32	48	22	22	50	40	98	19	58	20	52	92	74	47	76	95	25	34	78	48	75	65	
30	24	11	19	12	45	61	18	43	48	65	21	25	71	16	24	89	73	44	96	22	73	98	97	69	25	32	49	72	9	
69	58	86	79	76	97	80	92	16	24	96	36	98	22	8	15	46	53	88	45	6	11	19	6	64	43	30	95	91	57	
59	18	16	46	52	48	98	33	41	15	13	38	7	12	16	68	27	17	76	70	17	82	80	35	87	45	33	72	96	80	
84	12	97	2	14	6	5	13	93	1	82	7	93	88	18	10	13	98	26	89	69	42	72	7	32	16	7	64	87	58	
45	72	70	97	29	83	59	87	51	53	88	34	59	82	77	32	91	90	86	72	36	56	15	9	18	46	24	25	65	66	
82	66	93	53	64	78	91	24	66	44	32	55	33	90	38	12	78	84	57	65	57	92	22	71	56	94	72	79	20	93	
2	3	60	50	12	79	29	58	59	95	3	90	51	36	38	45	3	17	30	59	81	43	52	58	69	9	53	97	43	72	
91	98	31	8	49	96	86	78	55	46	74	14	38	80	49	75	80	51	47	66	65	29	10	18	42	78	80	95	32	78	
24	24	77	10	31	27	7	73	60	62	74	89	75	67	71	79	97	8	85	45	73	51	29	82	24	71	18	59	67	49	
38	46	29	16	56	15	96	62	87	58	79	63	48	11	31	74	89	30	82	31	30	56	37	59	94	60	31	13	20	53	
61	13	98	45	28	11	60	26	29	48	39	63	66	86	74	53	18	20	38	1	51	67	56	87	27	7	5	57	19	78	
65	36	91	21	80	74	31	95	1	59	45	39	78	66	81	53	20	98	72	57	54	78	80	65	23	8	72	81	21	90	
60	85	81	8	7	63	82	92	59	38	8	59	33	85	81	69	39	56	68	67	69	23	2	50	43	24	13	16	6	33	
8	22	74	88	83	36	8	66	29	23	60	37	37	92	23	19	62	18	31	85	84	1	63	85	50	7	65	62	23	26	
51	84	3	26	29	86	61	91	9	90	15	68	82	7	17	60	80	78	77	12	20	18	12	82	59	17	45	25	34	67	
6	84	8	9	65	36	94	28	82	4	73	52	28	12	59	44	71	40	78	6	7	97	23	72	37	81	88	81	61	23	
5	23	63	66	31	29	3	80	12	85	39	40	92	66	51	52	12	24	47	45	29	9	43	7	80	35	44	69	17	6	
48	75	28	12	42	14	94	1	93	8	41	34	47	34	55	98	86	22	77	88	66	61	97	65	67	78	1	12	5	72	
72	52	48	55	19	46	25	14	46	19	21	86	8	24	75	19	77	18	40	55	8	8	17	60	72	39	93	72	7	97	
45	34	6	49	44	78	94	68	92	95	43	68	82	6	91	14	24	69	32	20	79	39	27	51	54	54	46	48	81	52	
47	82	41	8	32	84	86	81	54	35	77	52	4	16	57	51	29	37	75	60	56	56	54	82	62	9	91	9	57	29	
60	59	12	56	66	97	42	9	35	51	43	13	4	3	82	60	53	13	96	29	28	53	40	82	90	4	46	38	66	58	
67	28	18	78	39	40	33	80	4	67	32	47	80	35	49	19	51	3	31	4	85	15	57	81	96	4	84	97	42	7	
57	64	34	30	97	29	25	31	10	29	98	42	75	35	32	79	53	82	81	40	42	23	54	98	5	7	57	44	59	54	
51	17	19	40	3	72	24	27	4	34	55	57	31	85	47	62	65	2	2	3	95	43	80	6	96	40	66	10	40	26	
20	90	97	38	85	1	11	11	27	69	98	38	27	30	24	74	47	45	31	4	47	81	2	28	86	53	68	53	63	9	
