n 9
m 2
n_day 1
hl 1439
o 3
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 342

peak_start
1080

peak_end
1259

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
159
107

processing
51	90	
53	29	
79	41	
13	15	
40	58	
47	96	
83	69	
13	77	
60	76	

setup
0	3	7	1	1	4	2	7	7	
7	0	2	7	7	8	6	5	2	
8	6	0	4	2	4	7	2	5	
4	3	3	0	3	2	5	2	4	
4	4	4	2	0	2	5	1	4	
6	7	7	7	6	0	7	6	5	
1	3	2	3	2	2	0	5	4	
8	8	7	6	5	4	6	0	4	
4	3	2	3	2	2	7	6	0	

0	5	4	5	4	3	6	8	3	
6	0	6	6	7	6	6	8	5	
2	5	0	5	6	7	8	5	7	
8	4	3	0	4	8	6	5	5	
6	5	8	4	0	5	7	5	5	
4	4	3	4	5	0	6	7	6	
5	7	5	8	5	6	0	4	4	
6	3	4	5	5	7	4	0	3	
1	5	3	6	3	6	2	3	0	

