n 250
m 20
n_day 1
hl 1439
o 5
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 3682

peak_start
1080

peak_end
1259

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
109
164
98
189
67
174
152
142
137
118
163
51
180
89
144
41
188
136
141
60

processing
86	44	49	66	39	70	40	67	51	65	41	84	82	51	48	1	89	60	65	32	
10	12	90	51	15	94	66	36	59	24	90	2	67	41	68	8	12	9	74	62	
30	71	4	67	77	51	23	24	12	88	11	21	1	2	27	70	96	93	7	12	
18	96	13	40	92	80	3	5	45	77	23	30	5	26	96	37	32	20	60	97	
63	71	73	20	72	2	89	25	94	51	36	67	4	49	8	96	84	11	56	84	
43	34	15	3	59	66	39	46	42	55	44	6	27	19	25	54	74	69	79	69	
21	16	91	25	20	54	76	6	64	33	89	62	67	60	64	81	27	59	83	68	
15	28	30	95	2	10	6	31	79	84	1	55	56	47	35	31	3	12	90	22	
1	37	84	23	96	5	59	78	19	43	4	87	27	33	39	82	96	45	15	76	
84	69	87	95	18	23	28	20	35	73	41	89	11	80	13	8	41	71	86	15	
70	45	4	96	77	96	79	30	96	49	8	82	20	50	34	37	72	17	12	62	
90	52	8	2	88	20	64	84	47	7	98	72	51	57	69	83	11	5	14	8	
54	75	45	73	26	79	65	54	95	76	71	42	83	79	44	28	54	9	13	2	
15	67	29	21	79	97	5	89	58	18	97	67	93	43	95	20	77	61	73	30	
92	46	71	76	80	16	6	35	78	72	91	48	40	21	68	21	74	72	65	33	
90	63	55	84	62	51	59	40	67	88	69	60	89	42	37	70	13	96	6	47	
70	96	94	11	73	20	85	48	91	52	36	38	70	90	77	33	96	92	29	64	
81	53	25	71	50	17	96	63	15	57	11	84	55	60	50	83	79	37	32	28	
44	67	21	15	14	98	4	11	91	32	30	29	84	10	55	36	26	52	54	94	
10	20	35	20	35	41	4	70	33	89	97	76	13	19	46	26	72	49	90	20	
36	21	48	22	84	58	13	66	11	22	61	75	95	52	50	31	92	10	2	26	
98	54	57	67	29	4	48	2	9	40	76	44	16	79	21	56	39	87	23	5	
10	83	35	6	90	85	37	39	50	92	64	5	48	76	71	76	36	21	33	44	
16	64	87	85	45	10	42	39	96	64	97	62	5	34	67	94	74	59	35	25	
53	54	83	56	86	56	87	23	32	75	66	3	41	10	43	41	19	85	79	71	
6	77	34	64	66	56	16	41	71	6	21	79	15	6	36	2	17	78	24	4	
54	45	6	50	55	48	90	29	88	70	1	50	5	88	15	70	2	30	67	72	
35	43	8	50	4	43	51	74	76	31	77	85	75	38	37	85	86	28	16	31	
54	70	80	58	16	51	83	17	80	7	44	71	6	51	22	9	49	28	39	80	
14	17	66	45	55	4	31	96	32	2	82	41	72	20	54	87	70	92	59	51	
1	58	23	60	64	98	24	68	82	62	49	51	35	16	95	89	20	28	42	7	
83	79	3	56	98	56	98	69	49	14	22	5	71	98	64	90	54	44	59	91	
7	9	43	41	25	40	85	98	23	82	60	61	63	62	19	62	19	72	33	23	
86	10	82	14	63	3	6	18	46	64	64	53	29	9	49	53	4	90	8	80	
