n 9
m 2
hl 1439
o 3
peak_start 1080
peak_end 1259
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 999

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
106
179

processing
89	10	
55	92	
23	26	
38	61	
42	92	
1	11	
71	59	
15	63	
56	69	

setup
0	8	4	2	2	7	6	4	6	
1	0	4	2	2	7	6	4	6	
5	7	0	7	7	8	6	6	8	
6	6	3	0	6	8	5	6	6	
6	7	7	8	0	8	4	5	6	
5	6	4	8	6	0	3	4	8	
8	6	6	7	3	7	0	4	7	
7	6	5	7	6	5	4	0	6	
3	8	8	8	7	5	4	6	0	

0	6	7	5	1	5	7	1	4	
4	0	6	2	4	3	5	4	5	
8	5	0	5	7	3	7	7	6	
7	4	4	0	5	4	7	4	4	
3	5	5	8	0	6	5	6	6	
1	6	2	4	5	0	1	2	3	
8	7	2	5	4	5	0	4	3	
1	6	3	4	2	5	5	0	4	
2	6	4	4	6	3	3	2	0	

