n 10
m 2
hl 1439
o 3
peak_start 1080
peak_end 1259
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 999

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
177
136

processing
78	61	
68	83	
58	82	
53	59	
49	4	
1	84	
55	60	
75	75	
6	79	
65	2	

setup
0	8	6	6	3	1	8	8	4	4	
1	0	6	6	3	1	8	8	4	4	
4	6	0	3	4	6	6	8	8	4	
6	4	5	0	6	3	8	8	5	7	
3	6	4	4	0	2	5	8	3	5	
3	7	3	3	6	0	6	6	5	6	
3	6	8	8	3	3	0	4	5	4	
5	6	8	6	6	5	4	0	7	4	
7	8	5	6	2	1	6	5	0	7	
5	8	3	2	6	5	5	3	6	0	

0	5	1	6	3	1	3	6	8	6	
3	0	3	7	1	3	3	4	8	4	
5	2	0	7	2	2	2	3	8	4	
3	3	1	0	2	2	2	3	8	4	
3	5	6	5	0	4	5	4	6	7	
8	4	4	4	3	0	5	3	6	7	
4	2	3	6	5	3	0	2	4	5	
7	4	3	7	7	8	4	0	2	2	
6	4	4	4	3	2	5	5	0	4	
2	4	4	7	6	3	6	6	5	0	

