n 10
m 2
hl 143
o 3
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 6018

v
1.2
1
0.8

lambda
1.5
1
0.6

pi
182
151

processing
57	80	
92	33	
16	73	
96	98	
57	50	
50	77	
69	76	
27	36	
37	67	
24	85	

setup
0	7	3	2	4	8	3	1	4	6	
7	0	7	7	5	2	5	7	4	5	
2	6	0	3	2	6	2	7	7	7	
6	8	4	0	3	4	4	7	5	4	
6	5	8	7	0	8	6	3	7	4	
1	7	5	3	3	0	5	2	5	3	
3	8	2	3	4	7	0	6	5	8	
6	6	8	6	5	7	7	0	7	4	
6	3	7	6	4	7	8	7	0	7	
3	6	5	6	4	8	4	8	8	0	

0	7	6	2	2	3	6	4	4	7	
3	0	4	3	3	2	7	5	4	8	
6	2	0	2	3	2	7	4	3	8	
2	6	7	0	5	6	6	8	5	6	
8	8	8	7	0	6	2	2	7	5	
3	7	8	7	8	0	8	7	3	8	
8	3	4	4	4	5	0	8	4	4	
4	4	3	2	4	4	6	0	3	3	
5	4	6	5	7	3	8	1	0	3	
1	7	5	4	5	7	3	7	8	0	

